"Symbol: ZSY00",,,,,,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: MA (20, Close, 0)","Study: MA (55, Close, 0)","Study: MA (200, Close, 0)","Study: TCHRE (100, Long, 5, ...)","Study: VOL (LikeMain)",,"Study: DOSC (14, 5, 3, ...)",
"Date Time","Symbol","Open","High","Low","Close","Change","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","MA-Simple","MA-Simple","MA-Simple","TurtleChnRetrace","Volume","Open Interest","Derivative Oscillator","Derivative Oscillator Signal"
1972-11-01,ZSY00,353,383.625,345.625,374.875,26.25,374.6466985225762,330.35,286.0533014774239,374.6466985225762,330.35,286.0533014774239,330.35,,,,40848,66700,,
1972-12-01,ZSY00,381.875,431.875,381.875,421.25,46.375,393.03674278737145,336.78125,280.52575721262855,393.03674278737145,336.78125,280.52575721262855,336.78125,,,,44151,80833,,
1973-01-01,ZSY00,420.875,486.625,419.875,482,60.75,428.7961208897682,345.2375,261.67887911023183,428.7961208897682,345.2375,261.67887911023183,345.2375,,,,40842,73765,,
1973-02-01,ZSY00,490.625,670.25,490.625,649,167,517.3409995545092,361.54375,205.74650044549085,517.3409995545092,361.54375,205.74650044549085,361.54375,,,,28248,66417,,
1973-03-01,ZSY00,664.25,690,544,544,-105,546.2336977180602,372.1625,198.09130228193985,546.2336977180602,372.1625,198.09130228193985,372.1625,,,,25177,60980,,
1973-04-01,ZSY00,563.875,758.625,563.875,758.625,214.625,634.2492559899899,394.3125,154.37574401001,634.2492559899899,394.3125,154.37574401001,394.3125,,,,24743,61304,,
1973-05-01,ZSY00,784.25,1157,774.625,1157,398.375,843.2093465367318,436.8125,30.415653463268143,843.2093465367318,436.8125,30.415653463268143,436.8125,,,,24388,59679,,
1973-06-01,ZSY00,1158.75,1228.75,910,910,-247,917.565773731636,466.65,15.734226268363898,917.565773731636,466.65,15.734226268363898,466.65,,,,17493,53221,5.990994732903829,
1973-07-01,ZSY00,900,1130,616.25,900,-10,977.9103706495514,496.8375,15.764629350448615,977.9103706495514,496.8375,15.764629350448615,496.8375,,,,14406,55301,3.0443683925613243,
1973-08-01,ZSY00,950,1100,750,750,-150,1003.9202942767304,518.875,33.82970572326957,1003.9202942767304,518.875,33.82970572326957,518.875,,,,15082,57075,-1.0549592555965432,
1973-09-01,ZSY00,710,710,598,620,-130,1011.5491603608989,534.29375,57.03833963910114,1011.5491603608989,534.29375,57.03833963910114,534.29375,,,,11995,58747,-5.523857792683003,
1973-10-01,ZSY00,611.25,624,514.625,536,-84,1012.5647729797618,544.6,76.63522702023823,1012.5647729797618,544.6,76.63522702023823,544.6,,,,17257,57746,-9.402974082881258,
1973-11-01,ZSY00,539,619,529.625,597.625,61.625,1016.2579856158238,557.53125,98.80451438417612,1016.2579856158238,557.53125,98.80451438417612,557.53125,,,,22388,54754,-11.31909784957898,
1973-12-01,ZSY00,601,631,575,575.625,-22,1017.2643429896277,569.1125,120.96065701037213,1017.2643429896277,569.1125,120.96065701037213,569.1125,,,,20895,58518,-12.101466423335893,
1974-01-01,ZSY00,581.625,640.625,581.625,639,63.375,1020.8740528668186,583.7,146.52594713318143,1020.8740528668186,583.7,146.52594713318143,583.7,,,,22340,47959,-11.442787719967882,
